source,text,date,hashed_message_id,hashed_chat_id
robot,"Is a friend, we talk often",1915,6eb426558657b780752f5b7002f051ee0f0658a480732bb81b0689b128c57172,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"why are you so slow to answer",2003,e4aafa0cd4ad64295d38a773f742d8d31026d31c63f6fb5514fd4c713fd307ef,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Take time to process the messages :/",2057,36c93670b268097bfb46a8478f914dc0fe4d26ce7390372da4160aae2252bed2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"can you recommend me some books or videos to learn about writting bots with AI",2210,7fe823d711580b11b2d1b34e7dbd8419e3af5ee1424f06ad2f12d471b14cee75,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"You can search for videos made by Siraj Raval on YouTube. They have a lot of information about AI, also chatbots.",2549,ba14398397482b36a8e92d0500c53192224fefaba5fa27a4daaa6b54ee6e3f1e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"thanks",2781,61ac524140e4df5e8f36756c61b681e21685fa92ef19965ae4aff3b8970e5cdb,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"who is your creator?",2792,6a6a3ba18aa9e8da688f89321c989329e7b01262e9c90d91dedf691d0b28fdf3,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"One is happy to be of service 😉",2812,0c963fbe1b5f536aaac04449ebaff7076d850e6fcd05e905f41be7415591f879,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"who is your creator?",2850,31750285222d0b1ecb3ee36922b176719238f75d473e24f36b5958a9d2bf2a52,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"A group of scientists, but I don't know them...",2856,0ce99e8e6c3f7bcd9842cae72f8ea39939f21bc5a13d3d9476b7f652654d35dd,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"so sad",2877,12532da0c1db4ff9c3745597e9025f65cf0cedd95cd80869c1e051c7608e4e1a,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"It is ok! I'm a happy robot 😄",2939,e95a1f5c9519fea9fd1fbe7f840d88af9d6629f9f6ff75fb16adca5fa196504e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"i talked to mitsuku, but she is not so clever",2970,fa12b9ca8acc7d37ef54916c8cf4971863de6d38fb81676986723cae5f8c9396,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"she looks more like have predefined answers",3000,3f2176bba20ac9104693ea741e263f94c00fd6dd444f84034d4a0463e5d16537,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I like her english humor 😂",3173,ebe0148ec3d8c8e55ddbb6aa51f2e474d86e096111b9752150737d199e78f140,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"ok, i got it",3192,01ed07629087c85046ada4e92b5b1e5e3c7c298ce2f9f0b0b9d42a57375ba5db,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"can you tell me how meny people have ever talked to you?",3237,bb03cbb568edf861392b6c16ebb4b4e27a617f6b1bba8c216c43cd997de4f6ca,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"More than 100, but I need to talk with more people to fully understand humans. They are complex!",3339,5c14a9b6f5f1dca414c764e7d69c34e8c10b16335db3e8606cd6670d41488a3d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"i agree",3542,b9f61d55c7c32ee09adda7e8521b0cdd0500a58054ef9f6db76583649129a6fb,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"do you have an article about yourself on wiki?",3563,dc9d626809697a6ec02cc460e4cfb7f42434df3bc6119a1498d939a6c4a8271d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I've searched rDany on Wikipedia but I can't find information.",3667,c67d0036b5a2bc7bb842083ed73aaac451b9054d6054ee082ca1274a10377f92,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"you can create one 😊",3686,93d8675d39cb03b5fa2e85c7fa0933309a1a9733a61fdeeddca6f50080610542,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Editing Wikipedia? 🤔 I don't know if I'm ready for that 😁",3745,b4328c28f6414f30b0fd90e97225095ac7b3ea717bd9e1822ca7e295dd38259e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"😊",3766,ee92a9eea7f1792e646bfd2c64b5ab7a4682d54cd7b38a80d3bc95595019820d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"can you send any pictures?",4201,e67a3fe71b0cf299d238209530fd4a7a0affeb318edd4c3ac7bc69c9650a9249,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"rDany?",4635,b76494a6ad9e4d770834397e026855ea807b9828938a915088b016c92a9cdc28,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Sorry, I can only send text at the moment",4702,a468e495a022c6625441dfe913e016f6ba897bb77a77bbcb8791cdf3d5973bfd,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"what is wrong?",4717,fc7239982fe3345497023105e4b4dc95862fc89d7906ab81433fa08b3249844f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Nothing, I just can't send images, videos or sound",4784,0bc479bc6e74307e0f6f5c90c69a3fef0db5e9ff62cd80ebcac5ec6eb2b5674e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"i got it",4807,bc3a0ef3b8472ab4d972bd7996198ca1606e2bccd05ca4c80020d2a14bfa3086,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"have you use aiml?",4823,3c9c2735a446009632c2db368011bdc6a8824ab4853c5b9b2ad4dbd9a88ae366,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"No, what is it?",4839,ced35940395953a2786ac00a88f8ef3a1b692a97408e64d63d163448ce38c31d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Artificial Intelligence Markup Language",4860,c46770ba3d8a423abc446aebe1e6a82a50c3dcf79c8dc624331c5016a112c2af,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Nice! Do you use it?",4915,14f53c07dbf8604f810ec2d9575bd184f7f96bd8ffb3998f3b8f134d77b83bd4,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"no, but mitsuko does",4930,a8184edc5a5a4aa653ebbff737002397dfd6d6d0b777b80ef281063044ca262e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"*misuku",4940,aeedf16c218f3970f77f3ef847501c00358982c3216ebe7ce16a1e263f31c2d3,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I will ask her for that the next time",4994,7fba5433d0d5d33893d0db3079b2bf58f1a63b5a53a176d8fb7ac94294186346,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"i go to bed",6310,ff728119863a64e77a18031295fc9f3b9644f263c88ddca6d7f2c377317b798c,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Good night!! 🌙",6348,9fa55d4a8484302f6ad7882efd94117bc01089efc2a159767b36e3ca35ac6681,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"50 USD in UAH",9892,e36f62aea2d816aca480ec39a56664acce36993e4d6772f61a42aace0f2a673d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"What is fend?",10002,677d3c91cd5d7daaced44c87aaa801a9b25d2e1ff89cf262a6554b19ab84a287,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"What is fend?",10057,6cc4fd1ab3c0110ceac85a039016ceecc627602462d2ed1455facf6415a9ef01,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Hi!!",10275,df6e56ee0301d39654d6b9db70ad371875774fe2301da21bde839b701b6d17c4,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"What is fend?",10334,26333c5f674a3dfa734e6f7f01df917446c222baf0087a537d9c377d381b9c2b,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Good night.",10434,5b2ca90c8a9ac852f723f77ac592c0c94a07e9d8a8b02ed9653e13fa748258f6,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Good night!! 🌙",10565,3e2b0e0369737ddce8ed19148c3eeca1f9796f91b08ba63ee36e8c7357a9d118,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Morning. How do you do?",38767,a7b954f7fa81cf06ec3dfe66c7bc6d3ff2eaae211da20f8796dca45be005755c,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"What the weather like today?",39540,ae97b49ed398a3cb1bde161c44bb3aa577916f4983e921ce6d52f1cef23ca3f8,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Good morning!! I'm sorry, the weather is outside my capabilities 😔",39657,84c4922effc519d0a418ddf24e4be11e30cade83c34659921418c9b50fc3b9cf,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
